,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
19,Cunha,541,28,4386,12829827,263,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5158306, 0.8749511, 0.790661, 0.81134856, 0.8945568, 0.6648726, 0.6767652, 0.59066445, 0.68862754, 0.5013659, 0.9577652, 0.9751056, 0.78135014, 0.8421626, 0.7431743, 0.5144587, 0.97747415, 0.94448036, 0.9259769]","[0.32850933, 0.07197289, 0.17352551, 0.17618918, 0.057954673, 0.31032237, 0.2996983, 0.36667174, 0.27765045, 0.46813935, 0.02168175, 0.023637319, 0.15957496, 0.14779584, 0.24807921, 0.46169314, 0.020115513, 0.04425048, 0.06465578]","[0.15566005, 0.053076044, 0.035813455, 0.012462335, 0.04748851, 0.024805008, 0.023536554, 0.042663824, 0.03372197, 0.030494742, 0.020553052, 0.0012570823, 0.0590749, 0.010041601, 0.0087464955, 0.023848152, 0.0024103718, 0.011269199, 0.009367419]",14.671591699123383,3.7221177853643894,0.6062907612649724,0.772189,0.19590095,0.03191004,2,14,3
20,Strand Larsen,566,28,1189,202324,77,"[False, False, False, False, False, False, False]","[0.9598122, 0.70962995, 0.82850856, 0.84420764, 0.81640446, 0.8688711, 0.86961114]","[0.02406472, 0.23525636, 0.16196777, 0.10227575, 0.17426874, 0.07763426, 0.082595415]","[0.016123027, 0.055113606, 0.009523638, 0.05351655, 0.009326752, 0.053494643, 0.04779339]",5.897045075893402,0.8580630123615265,0.24489160627126694,0.842435,0.122580424,0.034984518,0,6,1
21,Gomes,553,28,18,84511,2,"[False, False, False, False, False, False, False, False]","[0.5766124, 0.60704505, 0.5677914, 0.6776793, 0.94259244, 0.8773015, 0.9002853, 0.55471486]","[0.4113173, 0.3808769, 0.42457917, 0.22402096, 0.048421044, 0.114961624, 0.079346314, 0.43671656]","[0.012070305, 0.012078001, 0.007629462, 0.098299764, 0.008986572, 0.00773677, 0.02036837, 0.008568578]",5.704022288322449,2.120239857584238,0.1757378214970231,0.7130028,0.26502997,0.021967227,0,6,2
22,José Sá,554,28,0,18,0,[False],[0.75540096],[0.15280902],[0.091790035],0.7554009556770325,0.1528090238571167,0.09179003536701202,0.75540096,0.15280902,0.091790035,0,1,0
23,André,642,28,51,21229,3,"[False, False]","[0.9558623, 0.8773015]","[0.04030932, 0.114961624]","[0.0038284708, 0.00773677]",1.8331637978553772,0.15527094528079033,0.011565240798518062,0.91658187,0.077635475,0.0057826205,1,1,0
24,Bueno,564,27,1,56091,0,[False],[0.8529495],[0.14175923],[0.005291315],0.8529495000839233,0.1417592316865921,0.005291314795613289,0.8529495,0.14175923,0.005291315,0,1,0
25,Cunha,541,27,445,18025,49,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9880833, 0.7372545, 0.8371447, 0.83771586, 0.7797701, 0.8726116, 0.9758782, 0.8416024, 0.98515004, 0.84760356, 0.9302349, 0.61076903, 0.6046823, 0.73194873, 0.5787564, 0.9593446, 0.9405992, 0.9831086, 0.7650137]","[0.010067252, 0.2514076, 0.16017662, 0.15709724, 0.18533519, 0.12138567, 0.021718292, 0.15352505, 0.013073216, 0.10858299, 0.06367891, 0.32166606, 0.28481275, 0.25925782, 0.41548145, 0.037847687, 0.05726169, 0.013929064, 0.22671905]","[0.0018494723, 0.01133786, 0.002678707, 0.005186833, 0.034894764, 0.0060027842, 0.0024035028, 0.004872544, 0.0017766884, 0.04381345, 0.0060862056, 0.06756486, 0.110504866, 0.008793463, 0.005762169, 0.0028076798, 0.0021390815, 0.002962295, 0.008267283]",15.807271659374237,2.8630235996097326,0.3297045073704794,0.83196163,0.15068546,0.01735287,12,5,2
26,Munetsi,770,27,3,368,0,[False],[0.8907174],[0.10177857],[0.00750408],0.8907173871994019,0.10177856683731079,0.007504079956561327,0.8907174,0.10177857,0.00750408,0,1,0
27,Doherty,543,26,0,5072,0,[False],[0.79204136],[0.20228511],[0.0056735477],0.7920413613319397,0.20228511095046997,0.005673547741025686,0.79204136,0.20228511,0.0056735477,1,0,0
28,Cunha,541,26,1059,139298,79,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7310742, 0.9538559, 0.5424731, 0.9277699, 0.57629716, 0.58652496, 0.5827227, 0.8565761, 0.94275856, 0.710229, 0.8907106, 0.79836655, 0.7554949, 0.841606, 0.5626194, 0.87973255, 0.924124, 0.8579319, 0.6008442]","[0.24863088, 0.03395684, 0.44168025, 0.069991484, 0.24366225, 0.37530652, 0.39449528, 0.07937963, 0.0405496, 0.28710973, 0.106720865, 0.18379772, 0.21129455, 0.12808919, 0.39698723, 0.1124406, 0.06327216, 0.1128224, 0.37918022]","[0.02029488, 0.0121872565, 0.015846629, 0.0022386434, 0.18004058, 0.03816851, 0.022781964, 0.06404438, 0.016691815, 0.0026612766, 0.0025686023, 0.01783575, 0.03321057, 0.03030472, 0.040393475, 0.0078267865, 0.01260392, 0.02924567, 0.019975595]",14.521711647510529,3.9093674048781395,0.5689210274722427,0.76430064,0.20575617,0.029943213,3,14,2
29,Gomes,553,26,0,39830,0,"[False, False, False, False]","[0.5231269, 0.9299457, 0.84157676, 0.8428217]","[0.45878094, 0.04546861, 0.13900143, 0.09164224]","[0.01809214, 0.024585651, 0.019421887, 0.06553603]",3.137471079826355,0.7348932214081287,0.12763570807874203,0.7843678,0.18372332,0.031908926,0,4,0
30,Agbadou,720,26,0,10586,0,"[False, False, False, False]","[0.79204136, 0.5231269, 0.8428217, 0.84157676]","[0.20228511, 0.45878094, 0.09164224, 0.13900143]","[0.0056735477, 0.01809214, 0.06553603, 0.019421887]",2.9995667338371277,0.8917097225785255,0.10872360458597541,0.7498917,0.22292744,0.027180903,1,3,0
31,Aït-Nouri,533,25,1086,16766,30,"[False, False]","[0.7565782, 0.7627528]","[0.24011314, 0.19890413]","[0.003308678, 0.03834312]",1.5193309783935547,0.43901726603507996,0.04165179841220379,0.7596655,0.21950863,0.0208259,1,1,0
32,Semedo,559,25,5,436,0,[False],[0.93364376],[0.04399165],[0.022364633],0.9336437582969666,0.04399165138602257,0.022364633157849312,0.93364376,0.04399165,0.022364633,0,1,0
33,Cunha,541,25,1379,127515,68,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.48517406, 0.7565782, 0.8910515, 0.6398232, 0.8073333, 0.9291285, 0.9170448, 0.8699289, 0.93947434, 0.7627528, 0.7239448, 0.9441553, 0.54116154, 0.8511315, 0.92005473, 0.7376189, 0.61598724, 0.65543574, 0.9419509]","[0.43325743, 0.24011314, 0.10575551, 0.33208397, 0.113348134, 0.06845975, 0.07416326, 0.123355575, 0.051460303, 0.19890413, 0.18224326, 0.029834175, 0.32010588, 0.14241695, 0.06841549, 0.23189667, 0.36028963, 0.28875515, 0.031190673]","[0.08156854, 0.003308678, 0.003192982, 0.028092816, 0.07931857, 0.0024117818, 0.008791833, 0.0067155547, 0.009065359, 0.03834312, 0.093812, 0.026010584, 0.13873263, 0.006451649, 0.011529795, 0.030484421, 0.023723094, 0.05580911, 0.026858356]",14.929730236530304,3.396049078553915,0.6742208653595299,0.78577524,0.17873943,0.035485305,2,16,1
34,Bellegarde,535,25,5,1437,0,"[False, False]","[0.8970006, 0.7718848]","[0.09770112, 0.16365667]","[0.005298298, 0.06445847]",1.6688854098320007,0.26135778427124023,0.06975676491856575,0.83444273,0.13067889,0.03487838,0,2,0
