,Unnamed: 0,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
247,48,Colwill,162,24,52,30587,17,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.80294144, 0.803067, 0.9346874, 0.7712347, 0.9322887, 0.81414545, 0.6756683, 0.776647, 0.9423261, 0.8367133, 0.709094, 0.90479434, 0.9153391, 0.9380147, 0.9039656, 0.74465394, 0.8575959, 0.9398948, 0.8869633, 0.4871591]","[0.18795413, 0.19442235, 0.050150275, 0.17610247, 0.040948216, 0.1832054, 0.3155174, 0.22017919, 0.038189374, 0.14704141, 0.24454321, 0.086218536, 0.082568996, 0.03528308, 0.08226166, 0.21891707, 0.13451663, 0.048410587, 0.10641925, 0.4861259]","[0.0091044465, 0.0025106138, 0.015162419, 0.05266287, 0.026763069, 0.002649096, 0.008814275, 0.0031738847, 0.0194845, 0.016245278, 0.046362832, 0.008987091, 0.0020918348, 0.026702277, 0.013772764, 0.03642897, 0.007887437, 0.011694657, 0.006617458, 0.026715012]",16.577194184064865,3.0789751075208187,0.3438307847827673,0.8288597,0.15394877,0.017191539,4,14,2
248,49,Sancho,386,24,3,8831,2,"[False, False]","[0.8166696, 0.7293748]","[0.12948295, 0.2603255]","[0.05384746, 0.010299659]",1.546044409275055,0.3898084461688995,0.0641471175476908,0.7730222,0.19490422,0.032073557,0,1,1
249,50,Enzo,168,24,254,377298,30,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8284066, 0.46425435, 0.51168877, 0.821354, 0.8638951, 0.53933436, 0.5385611, 0.8508429, 0.8093414, 0.95481855, 0.9615278, 0.6866341, 0.784592, 0.8118083, 0.74355716, 0.50459194, 0.871198, 0.5168648, 0.6590563]","[0.16911629, 0.397977, 0.34039423, 0.13985282, 0.12929495, 0.45627767, 0.45600668, 0.07688235, 0.1073179, 0.030837914, 0.035776787, 0.2994122, 0.21202026, 0.17640081, 0.2384063, 0.47173625, 0.08497977, 0.40152368, 0.3117457]","[0.00247716, 0.13776873, 0.14791703, 0.038793217, 0.006809985, 0.004387953, 0.005432201, 0.07227479, 0.08334066, 0.014343493, 0.0026953612, 0.01395365, 0.0033877406, 0.011790863, 0.018036604, 0.02367177, 0.043822158, 0.08161152, 0.029197956]",13.722327440977097,4.535959547385573,0.7417128453962505,0.7222278,0.23873472,0.039037514,5,10,4
250,51,Palmer,182,24,143,28456,15,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.6986039, 0.8306858, 0.8009146, 0.55413073, 0.85518116, 0.5042137, 0.8207123, 0.9449614, 0.9155176, 0.8813509, 0.69012576, 0.7998312, 0.59655327, 0.55756557, 0.7167905, 0.57495403, 0.52224165, 0.94706017, 0.9594561]","[0.28510052, 0.10804574, 0.17679699, 0.44170228, 0.13890651, 0.43759322, 0.14933318, 0.04328606, 0.0802157, 0.09958921, 0.28539574, 0.18544884, 0.39782384, 0.417906, 0.16450067, 0.4193019, 0.43196964, 0.048808068, 0.03793536]","[0.01629554, 0.06126854, 0.022288408, 0.0041669835, 0.005912325, 0.058193102, 0.0299545, 0.011752454, 0.004266649, 0.019059882, 0.024478542, 0.014720037, 0.0056228978, 0.024528418, 0.118708834, 0.0057440405, 0.04578878, 0.004131824, 0.002608588]",14.170850396156313,4.349659446626902,0.4794903411529958,0.74583423,0.22892945,0.025236335,8,7,4
251,52,Chalobah,159,23,36,21508,16,"[False, False, False, False, False, False, False, False, False]","[0.9727601, 0.9306981, 0.66615325, 0.95960754, 0.73996145, 0.9233253, 0.80137867, 0.81177187, 0.70858526]","[0.022888284, 0.0672157, 0.29548708, 0.03747277, 0.22313556, 0.071376845, 0.19576548, 0.17749104, 0.28066015]","[0.004351713, 0.002086176, 0.038359668, 0.0029196944, 0.03690292, 0.005297894, 0.0028558804, 0.010737059, 0.010754601]",7.514241516590118,1.37149291113019,0.1142656055744737,0.83491576,0.1523881,0.012696179,4,3,2
252,53,Sánchez,185,23,547,15578,66,"[False, False, False, False, False, False, False, False, False, False]","[0.7677222, 0.9399393, 0.5423374, 0.9131693, 0.93879855, 0.91877544, 0.9004709, 0.9236126, 0.6892858, 0.89665747]","[0.20984419, 0.04088197, 0.37319577, 0.08013805, 0.05391277, 0.0728138, 0.09416451, 0.06466027, 0.29336682, 0.06425216]","[0.022433605, 0.019178737, 0.084466785, 0.006692594, 0.0072887163, 0.008410798, 0.005364588, 0.011727112, 0.01734736, 0.039090373]",8.43076902627945,1.3472303114831448,0.2220006687566638,0.8430769,0.13472304,0.022200068,1,6,3
253,54,James,172,23,22,73983,8,"[False, False, False, False, False, False, False, False, False]","[0.92957735, 0.92483073, 0.8971346, 0.7947084, 0.926232, 0.9157315, 0.70858526, 0.45784017, 0.9385756]","[0.063539214, 0.057970904, 0.08902851, 0.18670872, 0.05520492, 0.06190096, 0.28066015, 0.38099548, 0.059597526]","[0.006883443, 0.017198332, 0.013836907, 0.018582897, 0.018563028, 0.02236755, 0.010754601, 0.16116434, 0.0018268091]",7.493215590715408,1.2356063835322857,0.271177911083214,0.8325795,0.1372896,0.03013088,2,6,1
254,55,Neto,560,23,2,981,1,"[False, False, False]","[0.9074762, 0.914074, 0.8927564]","[0.0788026, 0.07189598, 0.09355308]","[0.0137212975, 0.014030063, 0.01369045]",2.714306592941284,0.2442516610026359,0.0414418103173375,0.9047689,0.08141722,0.013813936,0,3,0
255,56,Madueke,177,23,10,10444,2,"[False, False, False, False, False]","[0.73996145, 0.80137867, 0.72154266, 0.81177187, 0.93071544]","[0.22313556, 0.19576548, 0.27254307, 0.17749104, 0.058209118]","[0.03690292, 0.0028558804, 0.0059142904, 0.010737059, 0.011075511]",4.005370080471039,0.927144270390272,0.067485659616068,0.801074,0.18542884,0.013497132,1,2,2
256,57,Jackson,180,23,123,26962,37,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5217329, 0.87944055, 0.7950015, 0.9181727, 0.9535214, 0.70047414, 0.7800597, 0.5081025, 0.89199376, 0.63676023, 0.9399393, 0.47743863, 0.9375345, 0.9016057, 0.909655, 0.46868142, 0.93879855, 0.930996, 0.58269227]","[0.43185818, 0.115111664, 0.19214503, 0.07667724, 0.036014643, 0.24209195, 0.199003, 0.4484853, 0.099622644, 0.35795864, 0.04088197, 0.2921243, 0.05022372, 0.09166114, 0.06516858, 0.39609417, 0.05391277, 0.059435327, 0.34237388]","[0.046408836, 0.005447806, 0.012853526, 0.00515002, 0.010463976, 0.057433855, 0.02093736, 0.04341217, 0.008383558, 0.0052811177, 0.019178737, 0.23043704, 0.012241663, 0.006733153, 0.025176516, 0.13522445, 0.0072887163, 0.009568652, 0.07493388]",14.672600775957108,3.590844176709652,0.7365550301037729,0.7722421,0.18899181,0.038766053,3,9,7
