,Unnamed: 0,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
12,12,Neto,567,6,357,472602,35,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9335354, 0.9194045, 0.821724, 0.79953, 0.4808226, 0.5940403, 0.5954914, 0.93743384, 0.93545413, 0.80776525, 0.61287594, 0.8843922, 0.7116604, 0.9809255, 0.86677045, 0.88169986, 0.9422224, 0.6873776, 0.9213809]","[0.05351809, 0.058796845, 0.15746915, 0.15780282, 0.46490547, 0.30447957, 0.3984582, 0.03771741, 0.05141669, 0.18845087, 0.34623778, 0.109507434, 0.24887528, 0.016319962, 0.12199051, 0.11353148, 0.035451543, 0.17027734, 0.06277918]","[0.012946537, 0.021798683, 0.020806883, 0.04266716, 0.05427191, 0.1014801, 0.0060503464, 0.024848834, 0.013129237, 0.0037838798, 0.040886294, 0.0061003766, 0.039464306, 0.0027546003, 0.011238944, 0.0047687087, 0.02232612, 0.14234507, 0.015839934]",15.314506620168686,3.097985638305545,0.5875079222023487,0.8060267,0.16305189,0.030921469,2,17,0
13,13,Semedo,572,6,3,1937,0,[False],[0.87229425],[0.10740107],[0.020304656],0.8722942471504211,0.1074010729789733,0.0203046556562185,0.87229425,0.10740107,0.020304656,0,1,0
14,14,Cunha,590,6,1,2,0,[False],[0.7324719],[0.23976202],[0.027766082],0.7324718832969666,0.2397620230913162,0.0277660824358463,0.7324719,0.23976202,0.027766082,0,1,0
15,15,Neto,567,5,28,201999,2,"[False, False, False, False, False, False]","[0.5414359, 0.92971724, 0.8950832, 0.8570777, 0.75561446, 0.9479781]","[0.45265573, 0.06132758, 0.08930999, 0.13269067, 0.24174422, 0.028052634]","[0.0059083337, 0.0089550875, 0.015606827, 0.010231565, 0.0026413188, 0.023969255]",4.926906585693359,1.0057808253914118,0.0673123872838914,0.8211511,0.16763014,0.011218731,2,4,0
16,16,Cunha,590,5,14,101785,2,"[False, False, False]","[0.8909471, 0.9205778, 0.9070134]","[0.096882656, 0.07185565, 0.054367855]","[0.012170267, 0.00756659, 0.038618732]",2.7185383439064026,0.2231061607599258,0.0583555893972516,0.9061794,0.07436872,0.019451862,0,3,0
17,17,Lemina,565,5,1,30,0,[False],[0.5458585],[0.4503559],[0.003785581],0.5458585023880005,0.4503558874130249,0.0037855810951441,0.5458585,0.4503559,0.003785581,1,0,0
18,18,Gomes,559,5,1,30,0,[False],[0.5458585],[0.4503559],[0.003785581],0.5458585023880005,0.4503558874130249,0.0037855810951441,0.5458585,0.4503559,0.003785581,1,0,0
19,19,Hee Chan,557,5,1210,6803510,29,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.896437, 0.9352715, 0.95639116, 0.9175335, 0.9591786, 0.9119695, 0.88932407, 0.94259804, 0.9443756, 0.9090576, 0.9277659, 0.896437, 0.8708782, 0.90955555, 0.9203043, 0.9304075, 0.9379494]","[0.07256892, 0.059268437, 0.024254961, 0.052384302, 0.020782666, 0.04759261, 0.07933893, 0.035729676, 0.050793517, 0.046342522, 0.043011967, 0.07256892, 0.122507215, 0.04554861, 0.07079871, 0.03888829, 0.03228522]","[0.030994039, 0.005460064, 0.019353846, 0.030082168, 0.020038737, 0.040437903, 0.031337015, 0.021672176, 0.004830888, 0.044599846, 0.029222082, 0.030994039, 0.006614556, 0.044895764, 0.008896918, 0.03070427, 0.029765273]",15.655434489250185,0.9146654829382896,0.4298995845019817,0.9209079,0.05380385,0.025288211,0,17,0
20,20,Fábio Silva,552,5,2,1072,0,[False],[0.72019845],[0.26440737],[0.0153941605],0.7201984524726868,0.2644073665142059,0.0153941605240106,0.72019845,0.26440737,0.0153941605,1,0,0
21,21,Nunes,566,4,55,257997,4,"[False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.8918937, 0.9414911, 0.85558224, 0.5301508, 0.83421654, 0.66891843, 0.8961156, 0.91761434, 0.9418128, 0.9424912, 0.7705133, 0.71381915, 0.9175822]","[0.09370246, 0.05416156, 0.13831802, 0.44461364, 0.152617, 0.22864446, 0.09463582, 0.04766326, 0.053237867, 0.05161348, 0.21891467, 0.25948676, 0.0767819]","[0.014403833, 0.004347266, 0.0060997354, 0.025235612, 0.013166515, 0.10243718, 0.009248621, 0.03472245, 0.0049493583, 0.005895257, 0.010572085, 0.02669403, 0.0056358823]",10.822201371192932,1.9143908880651,0.2634078292176127,0.83247715,0.14726083,0.020262143,2,8,3
22,22,Toti,573,3,12,16728,2,[False],[0.8557786],[0.12505743],[0.019163951],0.8557785749435425,0.1250574290752411,0.0191639512777328,0.8557786,0.12505743,0.019163951,0,1,0
23,23,Neto,567,3,1,531,0,[False],[0.7780847],[0.19733807],[0.024577271],0.7780846953392029,0.1973380744457245,0.0245772711932659,0.7780847,0.19733807,0.024577271,0,1,0
24,24,Cunha,590,3,1,3181,1,"[False, False]","[0.89914036, 0.73852]","[0.09529686, 0.2571627]","[0.0055628633, 0.0043173437]",1.6376603841781616,0.3524595499038696,0.0098802070133388,0.8188302,0.17622977,0.0049401037,0,2,0
25,25,Nunes,566,3,117,187731,10,"[False, False, False, False, False, False, False]","[0.7890031, 0.92815495, 0.94440365, 0.8557786, 0.96460354, 0.54597837, 0.6429858]","[0.12549482, 0.05759953, 0.04710862, 0.12505743, 0.026675181, 0.42801788, 0.35158747]","[0.08550216, 0.014245505, 0.008487807, 0.019163951, 0.008721242, 0.026003722, 0.0054266267]",5.670907974243164,1.1615409422665834,0.1675510164350271,0.8101297,0.16593443,0.023935858,0,7,0
26,26,Gomes,559,3,20,11887,3,"[False, False]","[0.9501885, 0.6344164]","[0.03253165, 0.35420382]","[0.01727992, 0.011379733]",1.5846049189567566,0.3867354691028595,0.0286596519872546,0.7923025,0.19336773,0.014329826,1,1,0
27,27,Jonny,560,3,3,2741,1,"[False, False]","[0.8035822, 0.6540229]","[0.19150348, 0.34030092]","[0.004914396, 0.005676242]",1.457605063915253,0.5318043977022171,0.0105906380340456,0.72880256,0.2659022,0.005295319,0,2,0
28,28,Bueno,548,3,0,153,0,[False],[0.7683329],[0.21672074],[0.014946344],0.7683328986167908,0.2167207449674606,0.0149463443085551,0.7683329,0.21672074,0.014946344,0,0,1
29,29,Bentley,546,3,0,1697,1,[False],[0.8035822],[0.19150348],[0.004914396],0.8035821914672852,0.1915034800767898,0.0049143959768116,0.8035822,0.19150348,0.004914396,0,1,0
30,30,Aït-Nouri,545,38,4,2768,2,"[False, False, False, False]","[0.58496314, 0.9623413, 0.63663274, 0.78148526]","[0.39561614, 0.021777617, 0.33217534, 0.19653234]","[0.019420622, 0.01588104, 0.031191938, 0.021982344]",2.9654224514961243,0.9461014438420534,0.0884759426116943,0.7413556,0.23652536,0.022118986,0,3,1
31,31,Sarabia,570,38,53,403316,7,"[False, False, False, False, False, False, False, False]","[0.9406975, 0.55272126, 0.66566586, 0.77568626, 0.71818805, 0.7177903, 0.8933003, 0.9053358]","[0.042313132, 0.43130428, 0.30730215, 0.20441636, 0.2612827, 0.25360402, 0.08703205, 0.07528708]","[0.016989322, 0.015974456, 0.027031992, 0.019897345, 0.020529317, 0.028605677, 0.019667668, 0.01937709]",6.169385313987732,1.662541788071394,0.1680728681385517,0.7711731,0.20781773,0.021009108,0,8,0
32,32,Cunha,590,38,52,11279,6,"[False, False, False]","[0.6861104, 0.86795527, 0.5516816]","[0.22342998, 0.11484604, 0.358742]","[0.09045969, 0.017198676, 0.08957645]",2.10574722290039,0.6970180198550224,0.1972348187118768,0.70191574,0.23233934,0.06574494,0,3,0
33,33,Gomes,559,38,34,401836,6,"[False, False, False, False, False, False]","[0.5782212, 0.5244167, 0.8787777, 0.62347347, 0.73587734, 0.9301828]","[0.40888697, 0.45872718, 0.07020287, 0.3657029, 0.24951877, 0.045017302]","[0.012891877, 0.016856125, 0.051019512, 0.010823623, 0.014603905, 0.0247999]",4.270949184894562,1.5980559885501862,0.1309949429705739,0.71182483,0.26634267,0.02183249,0,4,2
34,34,Hee Chan,557,38,0,10112,0,[False],[0.892603],[0.083379336],[0.024017656],0.8926029801368713,0.0833793357014656,0.0240176562219858,0.892603,0.083379336,0.024017656,0,1,0
35,35,Bueno,697,37,0,34340,0,[False],[0.9257308],[0.056268375],[0.018000782],0.92573082447052,0.0562683753669261,0.0180007815361022,0.9257308,0.056268375,0.018000782,0,1,0
36,36,Aït-Nouri,545,37,2,5128,8,"[False, False, False, False, False, False, False]","[0.9035016, 0.8303361, 0.68141407, 0.44076344, 0.93076664, 0.7158599, 0.5153572]","[0.069171414, 0.13914901, 0.2806524, 0.40882647, 0.05541979, 0.2779085, 0.46065322]","[0.027327001, 0.030514881, 0.037933532, 0.15041003, 0.013813617, 0.0062316335, 0.023989568]",5.017998903989792,1.6917808093130589,0.2902202582918107,0.71685696,0.24168298,0.041460037,0,5,2
37,37,Kilman,563,37,1,3980,0,[False],[0.89787036],[0.09464626],[0.007483466],0.8978703618049622,0.0946462601423263,0.0074834660626947,0.89787036,0.09464626,0.007483466,0,0,1
38,38,Cunha,590,37,1,330,0,[False],[0.8355385],[0.15453155],[0.0099298945],0.8355385065078735,0.1545315533876419,0.0099298944696784,0.8355385,0.15453155,0.0099298945,0,1,0
39,39,Lemina,565,37,0,34340,1,[False],[0.9116151],[0.0791385],[0.009246423],0.9116150736808776,0.0791385024785995,0.0092464229092001,0.9116151,0.0791385,0.009246423,0,1,0
40,40,Bellegarde,715,37,0,34340,0,[False],[0.9479903],[0.029561395],[0.022448232],0.9479902982711792,0.0295613948255777,0.022448232397437,0.9479903,0.029561395,0.022448232,0,1,0
41,41,Bueno,548,37,0,34340,0,[False],[0.9257308],[0.056268375],[0.018000782],0.92573082447052,0.0562683753669261,0.0180007815361022,0.9257308,0.056268375,0.018000782,0,1,0
42,42,Toti,573,36,0,1563,0,[False],[0.8661004],[0.124267206],[0.009632472],0.8661003708839417,0.1242672055959701,0.009632471948862,0.8661004,0.124267206,0.009632472,0,1,0
43,43,Aït-Nouri,545,36,62,177373,4,"[False, False, False]","[0.8257356, 0.85902363, 0.8710671]","[0.15543929, 0.13395019, 0.112918]","[0.018825047, 0.00702622, 0.016014908]",2.5558263659477234,0.4023074731230736,0.0418661744333803,0.8519421,0.1341025,0.013955392,0,2,1
44,44,Cunha,590,36,2,5183,0,"[False, False, False, False]","[0.9444173, 0.9388929, 0.8733909, 0.47423548]","[0.038858958, 0.030622914, 0.119866535, 0.4477945]","[0.016723806, 0.030484138, 0.0067425887, 0.077970035]",3.230936586856842,0.6371429041028023,0.1319205681793391,0.80773413,0.15928572,0.032980144,0,4,0
45,45,Gomes,559,36,1,34340,0,[False],[0.93166226],[0.04635735],[0.02198034],0.9316622614860536,0.0463573485612869,0.0219803396612405,0.93166226,0.04635735,0.02198034,0,1,0
46,46,Toti,573,35,0,309,0,[False],[0.89733493],[0.0917579],[0.010907154],0.8973349332809448,0.0917579010128974,0.0109071535989642,0.89733493,0.0917579,0.010907154,0,0,1
47,47,Doyle,351,35,30,359314,0,"[False, False, False]","[0.64782786, 0.65258175, 0.96269536]","[0.32483342, 0.3391594, 0.031255156]","[0.027338684, 0.008258812, 0.006049443]",2.2631049752235413,0.6952479779720306,0.0416469387710094,0.7543683,0.23174934,0.013882313,1,2,0
48,48,Bueno,697,35,0,39361,1,"[False, False, False]","[0.5804306, 0.6452904, 0.90374595]","[0.40626776, 0.3424185, 0.07018095]","[0.013301611, 0.012291182, 0.026073033]",2.129466950893402,0.8188672065734863,0.0516658257693052,0.70982236,0.27295575,0.017221943,0,2,1
