,win_prob,draw_prob,team_xG_scored,team_xG_scored_prev_10,team_xG_conceded,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,team_goals_scored,team_goals_scored_prev_3,team_goals_conceded_prev_5,prev_opp_goals_scored,prev_3_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,avg_opp_goals_scored,avg_opp_xG_scored,Team,GW,goals_conceded
0,0.2366519567431259,0.239610106202415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,1,2
1,0.5412619329987087,0.2395084053519286,1.06123,1.06123,1.18038,1.18038,1.18038,1.18038,0.0,0.0,2.0,0.0,0.0,0.0,0.575835,0.575835,1.6283,1.6283,1.6283,0.0,0.575835,Chelsea,2,2
2,0.5896908429925393,0.2184536531995088,1.54529,1.54529,1.79924,1.79924,1.79924,1.79924,3.0,3.0,2.0,0.0,0.5,0.5,1.3761,1.261835,1.53421,1.4574250000000002,1.4574250000000002,0.5,1.261835,Chelsea,3,1
3,0.4687589979844514,0.2426656428959912,2.02267,2.02267,1.3527293333333332,1.3527293333333332,1.3527293333333332,1.3527293333333332,2.333333333333333,2.333333333333333,1.6666666666666667,3.0,1.6666666666666667,1.6666666666666667,2.95688,2.4670533333333333,2.55629,1.8977366666666668,1.8977366666666668,1.6666666666666667,2.4670533333333333,Chelsea,4,0
4,0.4778651104016557,0.2469174477910868,1.750184,1.750184,1.3988744999999998,1.438904,1.3988744999999998,1.3988744999999998,2.0,3.5,1.25,1.0,1.3333333333333333,1.25,0.682719,1.4922075,2.88601,2.4850266666666667,2.531345,1.25,1.4922075,Chelsea,5,0
5,0.5520751761942051,0.2270947533281127,1.8796012,1.8796012,1.2707529999999998,0.998509,1.2707529999999998,1.2707529999999998,2.2,1.0,1.0,2.0,1.0,1.6,1.56836,1.815032,1.36923,1.5028443333333332,1.2398836,1.6,1.815032,Chelsea,6,2
6,0.6463816500748147,0.2022504951608299,2.176066,2.176066,1.2601474999999998,1.1477885,1.29334625,1.2601474999999998,2.5,2.0,0.75,0.0,1.0,1.0,0.614351,1.3487671666666667,1.43592,1.391573333333333,1.0654608,1.0,1.3487671666666667,Chelsea,7,1
7,0.1955456570155902,0.2178173719376392,2.1905594285714285,2.1905594285714285,1.3182035714285711,0.9826935,0.99060125,1.3182035714285711,2.2857142857142856,3.5,0.75,1.0,2.0,1.8571428571428568,2.07332,2.3643014285714288,0.609481,0.942732,0.9837196,1.8571428571428568,2.3643014285714288,Chelsea,8,2
8,0.5442941324975524,0.2248726932384253,2.0841195,2.0841195,1.4315743749999998,1.43683,1.2923092499999995,1.4315743749999998,2.125,2.5,0.75,0.0,0.3333333333333333,1.0,1.93657,1.445612375,1.6779,1.211758,1.6632748,1.0,1.445612375,Chelsea,9,1
9,0.3746024429592071,0.2536990089882461,2.032321777777778,2.032321777777778,1.4660938888888888,1.945855,1.46427425,1.4660938888888888,2.111111111111111,1.0,1.25,1.0,1.0,0.8888888888888888,2.62598,1.7385986666666668,2.99312,1.472924,2.2990504,0.8888888888888888,1.7385986666666668,Chelsea,10,1
10,0.3478355072149759,0.2740824197252676,1.9501606,1.9501606,1.5355345,1.98371,1.71027,1.5355345,2.0,1.5,1.5,0.0,0.6666666666666666,1.7,0.911305,1.9910343,0.859715,1.4657883333333337,1.2016808,1.7,1.9910343,Chelsea,11,1
11,0.6579680657248642,0.1997158785776095,1.8856614545454544,2.0489306666666667,1.5741677272727272,1.951375,1.948615,1.574996111111111,1.9090909090909087,1.5,1.25,0.0,0.6666666666666666,1.3,0.417295,1.2298068,1.2369,1.7059833333333334,1.899068,1.2727272727272727,1.2112916363636363,Chelsea,12,1
12,0.56011953401793,0.2275069841260476,1.963238,1.961299555555556,1.5236526666666668,2.0605,2.022105,1.5241516666666666,1.9166666666666667,1.0,1.25,2.0,1.0,1.7,3.04455,1.9979229,1.61437,2.13128,1.8706462,1.5833333333333333,1.99718075,Chelsea,13,0
13,0.7156645966866203,0.170033787156041,1.962172769230769,1.9434273333333327,1.4737903846153846,1.4642435,1.70780925,1.580627111111111,2.0,1.5,1.0,1.0,1.0,0.9,0.934969,1.2828826,1.86986,1.990330333333333,2.1839322,0.7692307692307693,1.2804413846153844,Chelsea,14,1
14,0.4635561322423944,0.2375151469657812,2.2386675714285715,2.05639,1.5049582142857143,0.921715,1.4911074999999998,1.5070863333333333,2.2142857142857144,2.5,0.75,0.0,1.6666666666666667,2.2,0.623934,2.1642194,3.27716,2.3362966666666667,2.33606,2.0,2.0062149285714286,Chelsea,15,3
15,0.7192121055502915,0.1624027335113561,2.260973733333333,2.4381488888888887,1.621619666666667,1.3927915,1.4285175,1.6350722222222225,2.333333333333333,4.0,0.75,4.0,3.0,2.4,1.746,1.8239446,1.95645,2.026911666666667,2.0336350000000003,2.066666666666667,1.7256426666666669,Chelsea,16,1
16,0.5850194291839742,0.2308914454164353,2.2816291250000003,2.317578888888889,1.6239315624999997,2.58251,1.7521125,1.8626011111111112,2.3125,4.5,1.25,0.0,1.3333333333333333,0.7,1.07081,1.0900757,1.51591,1.2240946666666668,1.3554068,0.875,1.1435474375,Chelsea,17,0
