,xG_prev_3,xG_prev_5,shots_90_prev_3,xA_90_prev,xA_90_prev_3,xA_90_prev_10,kp_90,mins,mins_prev,mins_prev_3,mins_prev_5,mins_prev_10,was_home,ict_prev,ict_prev_10,transfers_in,transfers_out,average_points,team_xG_scored_prev_3,team_xG_scored_prev_5,team_xG_conceded_prev_3,team_xG_conceded_prev_5,team_xG_conceded_prev_10,prev_3_opp_goals_scored,prev_5_opp_goals_scored,prev_10_opp_goals_scored,prev_opp_goals_conceded,prev_3_opp_goals_conceded,prev_5_opp_goals_conceded,prev_opp_xG_scored,prev_3_opp_xG_scored,prev_10_opp_xG_scored,prev_opp_XG_conceded,prev_3_opp_xG_conceded,prev_5_opp_xG_conceded,prev_10_opp_xG_conceded,avg_opp_goals_scored,avg_opp_goals_conceded,avg_opp_xG_scored,prev_season_goals,prev_season_shots,prev_season_xG,prev_season_mins,total_points,Name,GW,Team,goals,assists,clean_sheet_kept,saves_made,bonus_scored,mins_played,Web Name,Date,fpl_id
44408,0.9052325581395348,0.9847533632286994,0.5232558139534884,0.03,0.0156976744186046,0.0196875,0.5625,35.55555555555556,60.0,86.0,55.75,35.55555555555556,0.0,5.85,6.91875,7482,27165,1.8888888888888888,3.409295,2.4041825,1.245966,1.21713925,1.6618129999999998,1.6666666666666667,1.4,1.7777777777777777,4.0,2.0,2.4,0.659622,1.5961656666666666,1.6218476666666666,2.34143,1.7440256666666667,2.7050314,2.226811888888889,1.7777777777777777,1.7777777777777777,1.6218476666666666,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,9,Dominic Calvert-Lewin,10,Everton,1,0,1,0,3,88,Calvert-Lewin,2023-10-29T13:00:00Z,246
44409,0.2535211267605634,0.833976833976834,1.267605633802817,0.0613636363636363,0.0253521126760563,0.0286764705882352,0.6617647058823529,40.8,88.0,71.0,64.75,40.8,1.0,7.875,7.125000000000001,44493,10170,2.6,1.62929625,2.356833125,1.633706,1.587908,1.5574894999999995,1.3333333333333333,1.6,2.3,1.0,1.6666666666666667,2.4,1.31996,1.5051876666666668,2.0548143000000003,0.552523,1.341774,1.5045244,1.6674183000000002,2.3,1.9,2.0548143000000003,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,11,Everton,0,0,0,0,0,89,Calvert-Lewin,2023-11-04T15:00:00Z,246
44410,0.1763513513513513,0.568125,0.6081081081081081,0.0,0.0486486486486486,0.0286764705882352,0.5432595573440644,45.18181818181818,89.0,74.0,80.0,45.333333333333336,0.0,0.7078651685393258,7.125000000000001,29342,16478,2.5454545454545454,0.41379275,1.911543875,1.452129,1.3490475000000002,1.5548283333333337,1.0,0.8,0.9,0.0,2.0,1.2,1.43653,1.0287713333333333,1.1207355999999995,1.4998,2.0740876666666668,1.7994786,1.6148301999999997,0.9090909090909092,1.181818181818182,1.2257741818181815,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,12,Everton,0,0,0,0,0,76,Calvert-Lewin,2023-11-11T15:00:00Z,246
44411,0.147457627118644,0.1946708463949843,0.0,0.0592105263157894,0.0305084745762711,0.0254347826086956,0.6282722513089005,47.75,76.0,88.5,79.75,51.11111111111112,1.0,2.25,6.397826086956523,24952,23823,2.5,0.67571,1.152503125,0.5305335,1.08211975,1.2436204444444443,0.6666666666666666,1.2,1.2,0.0,1.0,1.0,2.74105,1.3842576666666666,1.4016646,0.408265,2.045541666666667,1.7144910000000002,1.5507213,1.0833333333333333,1.3333333333333333,1.5361296666666666,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,13,Everton,0,0,0,0,0,81,Calvert-Lewin,2023-11-26T16:30:00Z,246
44412,0.0327272727272727,0.1006389776357827,2.727272727272727,0.0444444444444444,0.0272727272727272,0.0302238805970149,0.5504587155963303,50.30769230769231,81.0,82.5,78.25,59.55555555555556,0.0,7.777777777777778,5.809701492537314,11656,31969,2.4615384615384617,1.2040035,0.808898125,1.1672145,1.30967175,1.298027111111111,2.0,1.6,1.1,3.0,2.0,2.2,2.22655,1.413425666666667,1.2764551999999998,1.21792,1.5376999999999998,1.762586,1.5985913,1.2307692307692308,1.6153846153846154,1.235617,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,0,Dominic Calvert-Lewin,14,Everton,0,0,0,0,0,0,Calvert-Lewin,2023-12-02T17:30:00Z,246
44413,0.3898089171974522,0.261377245508982,0.0,0.0,0.051592356687898,0.0320907617504051,0.5504587155963303,46.71428571428572,0.0,78.5,83.5,68.55555555555556,1.0,0.0,6.06807131280389,491,32673,2.2857142857142856,2.1440200000000003,1.409865,1.98264,1.25658675,1.3533982222222225,1.6666666666666667,1.6,2.5,0.0,1.0,1.0,2.90191,1.7867736666666667,2.4210371000000004,0.422674,1.3916583333333332,1.1147682,0.9608055000000002,2.2857142857142856,1.0,2.236766785714286,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,1,Dominic Calvert-Lewin,15,Everton,0,0,1,0,0,84,Calvert-Lewin,2023-12-07T19:30:00Z,246
44414,0.7555555555555555,0.2707317073170731,6.666666666666667,0.2035714285714286,0.0444444444444444,0.0303541315345699,0.6097560975609756,49.2,84.0,40.5,61.5,65.88888888888889,1.0,14.142857142857142,6.055649241146712,7303,10513,2.2,1.5607145,1.382359,1.3732125,1.2702135,1.339007111111111,1.6666666666666667,2.6,2.1,2.0,2.6666666666666665,2.6,2.3512,1.660767,2.1107151,4.03949,2.348939333333333,2.2398332,1.7719261,1.7333333333333334,1.6,2.116284733333333,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,5,Dominic Calvert-Lewin,16,Everton,0,1,1,0,0,66,Calvert-Lewin,2023-12-10T14:00:00Z,246
44415,1.692857142857143,0.8439834024896267,1.0714285714285714,0.0136363636363636,0.2035714285714286,0.054,0.5597014925373134,50.25,66.0,42.0,60.25,72.22222222222223,0.0,3.5454545454545454,6.535384615384616,22611,7451,2.375,1.7888595,1.96643975,0.9843625,1.48350125,1.3080760000000002,2.0,1.6,1.2,1.0,0.6666666666666666,1.4,1.05162,1.479284,1.1180165,2.96247,1.5664870000000002,1.7402062,1.7901171000000002,1.0,2.125,1.020799125,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,17,Everton,0,0,1,0,0,81,Calvert-Lewin,2023-12-16T17:30:00Z,246
44416,1.3200000000000005,1.1220779220779222,0.6,0.0333333333333333,0.12,0.0560702875399361,0.5084745762711864,52.05882352941177,81.0,75.0,57.75,69.55555555555556,0.0,3.333333333333333,5.607028753993611,13497,10984,2.3529411764705883,2.0341500000000003,1.7974322500000002,1.090576,1.23189425,1.2386662222222222,2.333333333333333,2.2,1.8,0.0,1.0,1.6,1.60738,2.5404133333333334,1.6674962999999998,1.70569,1.686756666666667,2.0730220000000004,1.848839,2.0588235294117645,1.3529411764705883,1.875596647058824,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,18,Everton,0,0,0,0,0,90,Calvert-Lewin,2023-12-23T15:00:00Z,246
44417,0.5326530612244897,0.9545454545454548,1.836734693877551,0.0599999999999999,0.0244897959183673,0.0576,0.5538461538461539,54.16666666666666,90.0,73.5,57.75,69.44444444444444,1.0,4.9,5.76,8896,12811,2.333333333333333,1.66871,1.72878475,0.8484735,0.916418,1.219744333333333,2.333333333333333,2.0,2.6,1.0,1.3333333333333333,1.6,2.28321,2.3110666666666666,2.3739879,1.23529,1.1913656666666668,1.2398748,1.2759519999999998,2.388888888888889,1.1666666666666667,2.2524766666666665,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,1,Dominic Calvert-Lewin,19,Everton,0,0,0,0,0,25,Calvert-Lewin,2023-12-27T20:15:00Z,246
44418,0.3842105263157895,0.8214953271028037,0.5263157894736842,0.036,0.0473684210526315,0.0604580152671755,0.54,52.63157894736842,25.0,85.5,80.25,72.77777777777777,0.0,1.08,5.633587786259541,5766,15083,2.263157894736842,2.10345,2.0688000000000004,1.1933525,1.14196425,1.140809888888889,2.0,1.6,1.6,1.0,1.6666666666666667,1.2,1.89483,1.3990986666666665,1.2916019,2.59347,1.7954066666666666,1.4771544,1.7033856999999997,1.4210526315789471,1.631578947368421,1.363713736842105,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,20,Everton,0,0,0,0,0,73,Calvert-Lewin,2023-12-30T15:00:00Z,246
44419,0.5556521739130434,0.5427480916030535,0.782608695652174,0.0246575342465753,0.0547826086956521,0.0592905405405405,0.8387698042870456,53.65,73.0,57.5,65.5,65.77777777777777,1.0,7.397260273972603,5.108108108108107,7254,23948,2.25,1.60957,1.63914,1.92924,1.38885675,1.3257690000000002,2.0,1.8,1.7,2.0,2.0,1.4,2.92587,1.9936166666666668,1.7752159000000003,1.11923,0.9888096666666668,1.0959822,1.2497873000000002,2.15,1.35,1.9262756,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,21,Everton,0,0,1,0,0,62,Calvert-Lewin,2024-01-14T14:00:00Z,246
44420,0.2846938775510204,0.3479553903345725,0.9183673469387756,0.0,0.0275510204081632,0.0640625,0.7929515418502202,54.04761904761905,62.0,49.0,67.25,64.0,0.0,3.919354838709678,6.078125000000001,5566,12146,2.238095238095238,0.8774655,1.49045775,2.46399,1.82867125,1.5704668888888889,0.6666666666666666,0.4,1.9,1.0,1.6666666666666667,2.0,0.697847,0.8501673333333333,1.4334539,2.0456,1.9279366666666664,2.096056,1.8849389,1.3333333333333333,1.7142857142857142,1.2650455714285715,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,2,Dominic Calvert-Lewin,22,Everton,0,0,1,0,0,80,Calvert-Lewin,2024-01-30T19:45:00Z,246
44421,0.4933333333333333,0.522,3.333333333333333,0.0225,0.0133333333333333,0.0576512455516014,0.8888888888888888,55.22727272727273,80.0,67.5,62.5,62.44444444444444,1.0,5.2875,6.357651245551602,3474,9436,2.227272727272727,0.7781405,1.19385525,1.994135,1.9616875,1.509529111111111,2.6666666666666665,2.4,2.3,2.0,1.6666666666666667,2.0,3.36194,2.2748166666666667,2.0749007,1.59637,1.3672976666666667,1.9865526,2.0297873,2.136363636363636,1.5,1.925200590909091,0.150375939849624,2.330827067669173,0.4885780304334217,70.41176470588235,5,Dominic Calvert-Lewin,23,Everton,0,1,0,0,0,84,Calvert-Lewin,2024-02-03T12:30:00Z,246
