,Player,fpl_id,GW,Likes,Followers,Comments,Verified,Positive,Neutral,Negative,Positive Sum,Neutral Sum,Negative Sum,Positive Mean,Neutral Mean,Negative Mean,Positive Majority,Neutral Majority,Negative Majority
13,Madueke,177,8,29,57503,9,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.5541454, 0.7053146, 0.64202607, 0.4981874, 0.9005303, 0.92922765, 0.6753318, 0.899119, 0.926138, 0.5778907, 0.928918, 0.56143785, 0.94221246, 0.9297908, 0.8432642, 0.91442126, 0.9597318, 0.80309737, 0.94622135]","[0.42895967, 0.2719167, 0.35508752, 0.4947558, 0.082260445, 0.05957094, 0.3139031, 0.055669468, 0.038280547, 0.38580304, 0.06572808, 0.42638037, 0.055151336, 0.050825067, 0.14726375, 0.07684601, 0.038301013, 0.18227725, 0.03795218]","[0.016894905, 0.022768768, 0.002886418, 0.0070567518, 0.017209291, 0.011201443, 0.010765118, 0.045211576, 0.03558137, 0.03630623, 0.0053539355, 0.012181734, 0.0026361602, 0.01938414, 0.009472005, 0.008732731, 0.0019672005, 0.0146253705, 0.015826492]",15.13700595498085,3.5669322684407234,0.2960616366472095,0.79668456,0.1877333,0.015582192,9,10,0
14,Jackson,180,8,6154,6420128,187,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.944666, 0.95155734, 0.84565395, 0.9328364, 0.8749899, 0.7443053, 0.95247334, 0.4890919, 0.8833089, 0.6956645, 0.907876, 0.64202607, 0.64649755, 0.8689057, 0.931612, 0.8755885, 0.90610075, 0.6531423, 0.9310507]","[0.042010766, 0.03893768, 0.15198767, 0.05762206, 0.10715876, 0.24654084, 0.0356153, 0.4683348, 0.10123842, 0.3003573, 0.04785489, 0.35508752, 0.34651563, 0.12779425, 0.057159845, 0.102414414, 0.053680558, 0.3247631, 0.046758164]","[0.013323208, 0.00950502, 0.0023583528, 0.009541537, 0.017851355, 0.0091538355, 0.011911442, 0.042573355, 0.015452721, 0.0039781826, 0.044269133, 0.002886418, 0.0069868825, 0.0033000233, 0.011228183, 0.021997107, 0.04021875, 0.022094632, 0.022191133]",15.677347213029861,3.0118319615721703,0.31082126940600574,0.82512355,0.15851748,0.016359016,4,14,1
15,Mudryk,179,8,0,357,0,[False],[0.6044079],[0.3887561],[0.006836012],0.6044079065322876,0.3887560963630676,0.006836012005805969,0.6044079,0.3887561,0.006836012,0,0,1
16,Caicedo,157,8,0,488,0,"[False, False]","[0.7840099, 0.6728225]","[0.18972345, 0.3228232]","[0.02626664, 0.004354317]",1.4568323493003845,0.512546643614769,0.030620957259088755,0.7284162,0.25627333,0.015310478,1,1,0
17,Cucurella,163,8,240,390742,26,"[False, False, False, False, False, False, False, False, False, False, False]","[0.7763164, 0.7848433, 0.78962886, 0.8176565, 0.7871451, 0.4981874, 0.9552564, 0.5113219, 0.76542306, 0.88183266, 0.6685043]","[0.21834727, 0.13255414, 0.1244394, 0.1636048, 0.19813941, 0.4947558, 0.035027254, 0.4827248, 0.22039858, 0.09742021, 0.18575387]","[0.0053363205, 0.082602546, 0.0859317, 0.01873865, 0.014715534, 0.0070567518, 0.009716357, 0.005953289, 0.014178356, 0.020747064, 0.14574178]",8.236115902662277,2.3531655184924603,0.41071834648028016,0.74873775,0.21392415,0.03733803,1,10,0
18,Gusto,171,8,11,32852,1,"[False, False]","[0.8155602, 0.84614325]","[0.17922825, 0.12896319]","[0.0052115372, 0.024893645]",1.6617034673690796,0.3081914335489273,0.03010518243536353,0.83085173,0.15409571,0.015052591,1,1,0
19,Colwill,162,8,17,47374,3,"[False, False, False, False, False, False, False, False, False]","[0.8833089, 0.9015374, 0.69608396, 0.78689986, 0.9577111, 0.9026147, 0.4981874, 0.9597318, 0.81993985]","[0.10123842, 0.060816422, 0.2973576, 0.1801415, 0.034910083, 0.08652182, 0.4947558, 0.038301013, 0.17542589]","[0.015452721, 0.03764611, 0.006558464, 0.03295863, 0.0073788203, 0.010863456, 0.0070567518, 0.0019672005, 0.0046342635]",7.406015008687973,1.4694685339927673,0.1245164186693728,0.8228905,0.16327427,0.013835157,1,8,0
20,Sancho,386,8,2,56569,1,"[False, False, False]","[0.6478703, 0.6956645, 0.8534615]","[0.27634507, 0.3003573, 0.10566664]","[0.07578461, 0.0039781826, 0.040871922]",2.196996331214905,0.6823690235614777,0.1206347132101655,0.73233205,0.22745633,0.040211573,0,3,0
21,Enzo,168,8,146,365649,16,"[False, False, False, False, False, False, False, False, False, False, False]","[0.90779305, 0.9162082, 0.9041782, 0.4502648, 0.7848433, 0.78962886, 0.5113219, 0.55532765, 0.9244711, 0.8226142, 0.6051599]","[0.059493188, 0.07521674, 0.05124741, 0.4457742, 0.13255414, 0.1244394, 0.4827248, 0.44224986, 0.067652114, 0.14834897, 0.3839073]","[0.032713782, 0.008575109, 0.044574402, 0.10396094, 0.082602546, 0.0859317, 0.005953289, 0.0024224366, 0.007876877, 0.029036831, 0.010932852]",8.171811163425446,2.413608107715845,0.4145807661116123,0.7428919,0.21941891,0.03768916,2,9,0
22,Palmer,182,8,22319,13165788,484,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7320536, 0.947122, 0.7125516, 0.9503996, 0.8057509, 0.8616803, 0.62335765, 0.9598403, 0.73631316, 0.8877423, 0.6987397, 0.7856379, 0.6696572, 0.6943513, 0.8926524, 0.56370866, 0.51124793, 0.93962926, 0.6185024]","[0.26470813, 0.027857833, 0.28158212, 0.028975882, 0.18588486, 0.13085586, 0.37105438, 0.038322628, 0.2500686, 0.10923229, 0.195178, 0.13496172, 0.19260098, 0.21379715, 0.10179056, 0.42348072, 0.47102118, 0.05116838, 0.35673457]","[0.003238264, 0.025020288, 0.005866294, 0.02062453, 0.008364281, 0.00746371, 0.0055879755, 0.0018370781, 0.013618256, 0.003025414, 0.106082276, 0.07940035, 0.13774191, 0.0918516, 0.005557085, 0.012810643, 0.017730933, 0.009202384, 0.024763085]",14.590938091278076,3.829275857657194,0.5797863561892882,0.76794416,0.20154083,0.030515075,7,11,1
23,Sánchez,185,7,4,6534,3,"[False, False, False, False, False]","[0.9239809, 0.89790595, 0.57041335, 0.90429074, 0.92654127]","[0.069964394, 0.07606891, 0.41793132, 0.08297654, 0.06052298]","[0.006054799, 0.026025228, 0.011655263, 0.012732698, 0.012935779]",4.2231321930885315,0.7074641436338425,0.06940376665443182,0.8446264,0.14149281,0.013880754,0,5,0
24,Neto,560,7,5,7737,1,[False],[0.9365727],[0.040470693],[0.022956625],0.9365726709365845,0.04047069326043129,0.022956624627113342,0.9365727,0.040470693,0.022956625,0,1,0
25,Madueke,177,7,28,15487,7,"[False, False, False, False, False, False, False, False, False, False]","[0.955893, 0.83490974, 0.93830615, 0.8071562, 0.9385217, 0.93653125, 0.9266225, 0.90429074, 0.8889855, 0.87697583]","[0.023561431, 0.14813396, 0.052517712, 0.18231103, 0.037385352, 0.034685545, 0.060085308, 0.08297654, 0.05636988, 0.11401987]","[0.02054555, 0.016956227, 0.009176067, 0.010532805, 0.02409299, 0.028783176, 0.013292216, 0.012732698, 0.05464459, 0.009004248]",9.008192598819733,0.7920466307550669,0.19976056553423405,0.9008193,0.07920466,0.019976057,0,8,2
26,Jackson,180,7,1222,530508,28,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.9092579, 0.9419177, 0.9449754, 0.9412847, 0.91439813, 0.94628954, 0.94628954, 0.86021954, 0.84669733, 0.94438285, 0.9240396, 0.68684065, 0.9004277, 0.7465726, 0.9116522, 0.9324109, 0.663748, 0.5718267, 0.8719231]","[0.07658764, 0.03828953, 0.031397507, 0.034264646, 0.07154025, 0.0371572, 0.0371572, 0.1294846, 0.08221396, 0.034755155, 0.06235054, 0.29767463, 0.058241136, 0.24782193, 0.05975803, 0.051982027, 0.30149716, 0.42416558, 0.113381505]","[0.014154452, 0.01979273, 0.023627112, 0.024450647, 0.014061667, 0.016553186, 0.016553186, 0.0102958325, 0.07108874, 0.020862065, 0.0136099, 0.015484732, 0.041331146, 0.0056055104, 0.02858974, 0.015607134, 0.034754828, 0.0040077553, 0.014695381]",16.40515410900116,2.1897202134132385,0.40512574231252074,0.86342925,0.11524843,0.021322405,2,16,1
27,Colwill,162,7,55,113998,6,"[False, False, False, False, False, False, False]","[0.8054446, 0.889691, 0.86777014, 0.8278291, 0.64291817, 0.5218713, 0.75843275]","[0.18774074, 0.06159295, 0.103413016, 0.1679064, 0.3334834, 0.45936576, 0.14297734]","[0.006814678, 0.04871609, 0.028816808, 0.004264399, 0.023598447, 0.018762939, 0.09858991]",5.313957095146179,1.4564796090126038,0.22956327395513654,0.7591368,0.20806852,0.032794755,2,5,0
28,Sancho,386,7,46,202832,9,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.7465726, 0.9441048, 0.68458813, 0.87349695, 0.9240396, 0.6717697, 0.83418405, 0.96443206, 0.8488839, 0.8786263, 0.9400163, 0.8553164, 0.7238948, 0.65318555, 0.9365727, 0.8014375, 0.8786263, 0.5841737]","[0.24782193, 0.041157734, 0.16235377, 0.10714709, 0.06235054, 0.29319158, 0.16075309, 0.02976627, 0.13924122, 0.11620915, 0.058155973, 0.10747446, 0.14153035, 0.1872289, 0.040470693, 0.1091264, 0.11620915, 0.3943419]","[0.0056055104, 0.014737435, 0.15305811, 0.019355861, 0.0136099, 0.035038747, 0.005062897, 0.0058016446, 0.011874911, 0.0051644975, 0.0018277027, 0.03720915, 0.13457485, 0.15958552, 0.022956625, 0.08943607, 0.0051644975, 0.021484455]",14.743921279907227,2.5145301800221205,0.7415483806980774,0.81910676,0.13969612,0.041197132,5,13,0
29,Enzo,168,7,19,5065,11,"[False, False, False, False, False, False, False]","[0.56059575, 0.64749753, 0.82474786, 0.9348783, 0.95420957, 0.6189676, 0.7024476]","[0.34910575, 0.34559038, 0.14538464, 0.055490967, 0.023807727, 0.37227026, 0.2928827]","[0.090298496, 0.0069121053, 0.029867552, 0.009630737, 0.02198267, 0.008762167, 0.0046696314]",5.243344187736511,1.5845324285328388,0.17212335858494043,0.7490492,0.22636177,0.02458905,2,4,1
30,Palmer,182,7,34217,25681766,557,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0.96951354, 0.9282577, 0.67618775, 0.8305677, 0.58843195, 0.4942869, 0.51976144, 0.6048342, 0.9424684, 0.52318406, 0.8506502, 0.54474, 0.9282989, 0.71929145, 0.8048569, 0.7905026, 0.9739454, 0.81171, 0.9486062]","[0.02833233, 0.06185288, 0.25879574, 0.10542406, 0.40237227, 0.4156078, 0.4752052, 0.3897308, 0.048858415, 0.44182763, 0.14679646, 0.41888592, 0.038345776, 0.25656337, 0.18764865, 0.20480613, 0.022767661, 0.15585616, 0.036228076]","[0.0021541857, 0.009889453, 0.06501652, 0.06400816, 0.00919577, 0.09010531, 0.0050333017, 0.0054349904, 0.008673111, 0.034988295, 0.0025533, 0.036374096, 0.03335537, 0.024145173, 0.0074944817, 0.004691319, 0.0032869324, 0.0324338, 0.01516571]",14.450095295906067,4.095905365422368,0.45399928372353315,0.76053137,0.21557397,0.0238947,6,10,3
31,Fofana,189,6,7,234,3,[False],[0.9014651],[0.05408133],[0.044453546],0.901465117931366,0.054081328213214874,0.04445354640483856,0.9014651,0.05408133,0.044453546,0,1,0
32,Tosin,187,6,2,981,0,[False],[0.53860503],[0.43739566],[0.023999311],0.5386050343513489,0.4373956620693207,0.02399931102991104,0.53860503,0.43739566,0.023999311,1,0,0
